Phrase,Sujet,Verbe,Objet,type_deplacement,chapitre
"Ses adversaires avaient entre les mains un chèque signé de lui, et il suffisait d’ une simple écriture à passer chez Baring frères, pour que les vingt mille livres fussent portées à leur crédit.",,passer,chez Baring frères,Dpt au sens large,35
"Mr. Fogg n’ avait donc pas à sortir, et il ne sortit pas.",Mr. Fogg,sortir,,Dpt au sens large,35
Passepartout ne cessa de monter et de descendre l’ escalier de la maison de Saville - row.,Passepartout,monter,,Dpt au sens large,35
Passepartout ne cessa de monter et de descendre l’ escalier de la maison de Saville - row.,Passepartout,descendre,l’ escalier de la maison de Saville - row,Dpt au sens large,35
"Aouda, la misère ne saurait atteindre un homme tel que vous.",la misère,atteindre,un homme tel que vous,Dpt au sens large,35
Quoi  ! pas un cœur pour y verser vos peines.,,verser,y,Dynamicité spatiale sans dpt,35
Quoi  ! pas un cœur pour y verser vos peines.,,verser,vos peines,Dynamicité spatiale sans dpt,35
"Mr. Fogg lui demanda s’ il ne serait pas trop tard pour aller prévenir le révérend Samuel Wilson, de la paroisse de Mary-le-Bone.",,aller,,Dpt au sens large,35
"Et le samedi 21 décembre, à huit heures quarante - cinq du soir, allait -il apparaître, comme le dieu de l’ exactitude, sur le seuil du salon du Reform - Club  ?",-il,apparaître,comme le dieu de l’ exactitude,Dpt au sens large,36
"Et le samedi 21 décembre, à huit heures quarante - cinq du soir, allait -il apparaître, comme le dieu de l’ exactitude, sur le seuil du salon du Reform - Club  ?",-il,apparaître,sur le seuil du salon du Reform - Club,Dpt au sens large,36
"Les policemen avaient beaucoup de peine à contenir le populaire, et à mesure que s’ avançait l’ heure à laquelle devait arriver Phileas Fogg, l’ émotion prenait des proportions invraisemblables.",Phileas Fogg,arriver,,Dpt au sens large,36
"Vous savez, d’ ailleurs, que le China– le seul paquebot de New York qu’ il pût prendre pour venir à Liverpool en temps utile– est arrivé hier.",,venir,à Liverpool,Dpt au sens large,36
"Vous savez, d’ ailleurs, que le China– le seul paquebot de New York qu’ il pût prendre pour venir à Liverpool en temps utile– est arrivé hier.",,venir,en temps utile,Dpt au sens large,36
"Mais ils n’ en voulaient rien laisser paraître, car, sur la proposition de Samuel Fallentin, ils prirent place à une table de jeu.",,paraître,,Dpt au sens large,36
"Les cheveux en désordre, sans chapeau, courant, courant, comme on n’ a jamais vu courir de mémoire d’ homme, renversant les passants, se précipitant comme une trombe sur les trottoirs  !",on,courir,,Dpt au sens large,37
"En d’ autres termes, pendant que Phileas Fogg, marchant vers l’ est, voyait le soleil passer quatre-vingts fois au méridien, ses collègues restés à Londres ne le voyaient passer que soixante-dix-neuf fois.",Phileas Fogg,passer,quatre-vingts fois,Dpt au sens large,37
"En d’ autres termes, pendant que Phileas Fogg, marchant vers l’ est, voyait le soleil passer quatre-vingts fois au méridien, ses collègues restés à Londres ne le voyaient passer que soixante-dix-neuf fois.",Phileas Fogg,passer,au méridien,Dpt au sens large,37
"En d’ autres termes, pendant que Phileas Fogg, marchant vers l’ est, voyait le soleil passer quatre-vingts fois au méridien, ses collègues restés à Londres ne le voyaient passer que soixante-dix-neuf fois.",ses collègues,passer,que soixante-dix-neuf fois,Dpt au sens large,37
"Rien, soit, si ce n’ est une charmante femme, qui– quelque invraisemblable que cela puisse paraître– le rendit le plus heureux des hommes  !",cela,paraître,,Dpt au sens large,37
